Product_Form,Cu,Ni,Mn,P,Temperature_Celsius,AUC
W,0.26,0.6,1.88,0.013,285.55555555555554,1265.7214393543459
P,0.11,0.49,1.375,0.01,276.6666666666667,717.2070441961847
P,0.1,0.72,0.58,0.012,274.0,643.4170155912408
W,0.1,0.84,1.87,0.009,290.0,592.6213398656428
W,0.04,0.98,1.74,0.008,290.0,428.53314922530404
F,0.025,0.89,1.26,0.006,296.0,326.1591604549547
W,0.048,0.067,1.525,0.005,287.22222222222223,315.29642112992065
F,0.029,0.73,1.35,0.005,289.0,332.0041417063369
W,0.04,0.98,1.77,0.008,290.0,430.7364534405068
W,0.29,0.69,1.575,0.016,275.0,1672.910557524317
F,0.08,0.9,0.86,0.009,290.0,446.2313392493239
P,0.12,0.2,1.46,0.013,280.55555555555554,667.4379233709358
P,0.12,0.5,1.35,0.01,292.22222222222223,570.0968936677706
F,0.08,0.9,0.92,0.005,290.0,420.92416458262613
W,0.3,0.09,1.49,0.012,274.0,1081.5689462203625
F,0.09,0.65,1.27,0.01,262.9186574027526,780.3554312956292
W,0.04,0.99,1.76,0.01,290.0,455.88262777542934
F,0.03,0.68,1.35,0.005,276.0,416.13882329289527
F,0.03,0.69,1.35,0.006,276.0,430.81559101489665
F,0.03,0.73,1.33,0.007,289.44444444444446,348.68831705914886
W,0.08,1.7,1.41,0.012,290.0,2151.8442310501086
F,0.03,0.82,1.35,0.006,296.0,315.1778749913415
F,0.03,0.73,1.33,0.007,290.0,345.2593523881376
F,0.03,0.73,1.33,0.007,291.0,339.1871864794549
F,0.03,0.73,1.33,0.007,293.3333333333333,325.5032708112301
P,0.12,0.6,1.26,0.013,292.77777777777777,586.377956537506
P,0.12,0.64,1.29,0.011,286.6666666666667,653.1459565613261
F,0.03,0.77,1.39,0.006,290.0,344.64245250059685
P,0.12,0.64,1.29,0.011,287.0,649.2532044385177
F,0.03,0.75,1.32,0.008,290.0,355.44560897602474
F,0.03,0.73,1.35,0.005,289.0,332.0041417063369
P,0.133,0.66,1.21,0.005,287.22222222222223,652.151865017136
W,0.22,0.59,1.45,0.016,291.1111111111111,968.8052188569353
P,0.117,0.617,1.359,0.01,285.0,658.6536631798346
F,0.02,0.76,0.72,0.014,291.6666666666667,322.17283079668977
F,0.08,0.62,1.27,0.01,262.0,738.9751008870742
P,0.11,0.54,1.34,0.011,279.44444444444446,692.8304175523759
P,0.11,0.54,1.34,0.011,282.22222222222223,658.4964404320511
P,0.11,0.54,1.34,0.011,283.8888888888889,638.8622376894648
W,0.28,0.63,1.68,0.015,292.22222222222223,1200.342744070094
W,0.29,0.56,1.63,0.017,291.1111111111111,1183.1427231659422
W,0.24,0.52,1.3,0.009,282.77777777777777,1153.9552999093346
W,0.22,0.11,1.25,0.015,281.7,810.9555024706367
P,0.11,0.61,1.37,0.004,286.6666666666667,565.7826220228641
W,0.05,0.84,1.27,0.01,290.0,348.91885483785205
P,0.11,0.61,1.43,0.013,275.0,789.3406589403086
W,0.05,0.7,1.88,0.005,274.0,435.3122220589907
F,0.03,0.84,0.88,0.006,290.0,312.1406737225012
P,0.11,0.61,1.43,0.013,277.77777777777777,749.6473241704904
P,0.11,0.62,1.36,0.009,274.0,767.6456538836571
W,0.31,0.65,1.8,0.01,285.55555555555554,1374.0842857676455
W,0.31,0.59,1.49,0.016,292.77777777777777,1154.787552958086
P,0.11,0.63,1.4,0.012,276.6666666666667,758.9452342107822
P,0.11,0.63,1.4,0.012,291.1111111111111,584.2128882893859
P,0.117,0.617,1.359,0.01,282.22222222222223,692.6660745304774
P,0.117,0.617,1.359,0.01,282.77777777777777,685.7004003027303
P,0.117,0.617,1.359,0.01,283.8888888888889,672.0160780227997
P,0.12,0.65,1.29,0.009,274.0,811.3069741497383
W,0.41,0.1,1.65,0.021,291.6666666666667,828.8990196961354
W,0.41,0.1,1.65,0.021,292.22222222222223,820.8213576473315
W,0.086,0.11,1.37,0.02,287.77777777777777,465.45362735576634
W,0.36,0.78,1.418,0.013,283.3333333333333,1482.914038380906
W,0.39,0.58,1.63,0.018,290.55555555555554,1205.950900654528
W,0.086,0.11,1.37,0.02,288.8888888888889,456.30824819669084
W,0.35,0.58,1.55,0.022,291.6666666666667,1177.8613357137278
W,0.36,0.7,1.55,0.014,291.1111111111111,1253.2906238434236
W,0.1,0.084,1.57,0.017,303.88888888888886,371.41788827484936
W,0.39,0.58,1.63,0.018,283.3333333333333,1372.4507194327975
W,0.08,0.07,1.17,0.008,282.77777777777777,403.63844608756045
W,0.1,0.32,1.43,0.011,273.88888888888886,651.1282315568375
W,0.08,0.59,1.48,0.014,277.77777777777777,579.3997384861786
W,0.37,0.7,1.53,0.013,290.55555555555554,1264.8025261675982
W,0.36,0.78,1.418,0.013,272.22222222222223,1820.5349376369065
W,0.37,0.7,1.53,0.013,283.3333333333333,1439.4030848319428
W,0.0756,0.94,1.336,0.0094,278.3333333333333,605.8187235315487
W,0.0756,0.94,1.336,0.0094,274.0,656.6547661685922
W,0.41,0.1,1.65,0.021,291.1111111111111,837.0709038684835
W,0.088,0.084,1.82,0.017,289.44444444444446,471.84280007821906
W,0.35,0.73,1.75,0.013,273.88888888888886,1756.0497620164533
W,0.088,0.084,1.82,0.017,288.8888888888889,476.53499201367777
W,0.35,0.67,1.58,0.015,290.55555555555554,1250.9308068638957
W,0.35,0.6,1.57,0.013,291.1111111111111,1200.8286105910108
W,0.088,0.084,1.82,0.017,287.77777777777777,486.0860189453568
W,0.086,0.11,1.37,0.02,289.44444444444446,451.8153395381883
W,0.072,0.76,1.7,0.012,278.3333333333333,565.3667967503363
W,0.194,1.067,1.281,0.009,279.44444444444446,1392.8664478174894
W,0.34,0.66,1.17,0.024,285.55555555555554,1323.7602252828058
W,0.22,0.63,1.705,0.014,292.22222222222223,980.9724242687545
W,0.29,0.56,1.63,0.017,292.22222222222223,1160.1878945882625
W,0.23,1.2,1.23,0.012,278.3333333333333,1883.6402538200266
W,0.23,1.2,1.23,0.012,277.22222222222223,1922.6931042030124
W,0.23,1.2,1.23,0.012,274.44444444444446,2024.5927467455776
W,0.29,0.6,1.44,0.014,286.1111111111111,1302.207711960003
W,0.23,0.75,1.36,0.014,275.0,1428.8122399482502
W,0.23,0.75,1.36,0.014,273.88888888888886,1458.7667721290607
W,0.23,0.64,1.47,0.011,283.8888888888889,1164.9840283450558
W,0.23,0.64,1.47,0.011,281.6666666666667,1212.9464306834348
W,0.301,0.6,1.563,0.013,276.6666666666667,1558.7830546507782
W,0.23,0.64,1.47,0.011,280.55555555555554,1237.802252267616
W,0.23,0.62,1.575,0.019,289.44444444444446,1060.8231487937585
W,0.301,0.6,1.563,0.013,280.0,1465.9257194239235
W,0.301,0.6,1.563,0.013,282.22222222222223,1407.6505756883494
W,0.23,0.62,1.575,0.019,286.1111111111111,1125.8994981489273
W,0.307,1.045,1.161,0.009,279.44444444444446,1849.4001282342265
W,0.23,0.62,1.575,0.019,285.55555555555554,1137.1994032838975
W,0.23,0.62,1.575,0.019,282.77777777777777,1195.7529394594706
W,0.22,1.11,1.14,0.015,285.0,1455.0999132461013
W,0.29,0.56,1.63,0.017,291.6666666666667,1171.598789380643
W,0.23,1.2,1.23,0.012,278.8888888888889,1864.4661055873012
W,0.24,0.52,1.3,0.009,284.44444444444446,1119.6568374634408
W,0.254,0.726,1.285,0.015,282.77777777777777,1328.686776547351
W,0.27,0.58,1.49,0.016,291.1111111111111,1147.8005282793242
W,0.27,0.06,1.29,0.016,275.0,966.0753193087585
W,0.27,0.59,1.45,0.011,291.1111111111111,1150.6815398644271
W,0.279,0.059,1.104,0.013,284.44444444444446,802.5444549589357
W,0.279,0.059,1.104,0.013,286.1111111111111,778.8085396465772
W,0.26,0.56,1.54,0.014,275.0,1479.6876569508686
W,0.254,0.726,1.285,0.015,285.0,1276.3419105942862
W,0.254,0.726,1.285,0.015,283.8888888888889,1302.2031690860415
W,0.254,0.726,1.285,0.015,282.22222222222223,1342.1673652021295
W,0.28,0.57,1.63,0.019,276.6666666666667,1544.198967944056
W,0.25,0.59,1.4,0.014,289.44444444444446,1104.9936646144927
W,0.25,0.59,1.4,0.014,286.1111111111111,1172.767091318805
W,0.25,0.59,1.4,0.014,285.55555555555554,1184.5352458334348
W,0.25,0.59,1.4,0.014,284.44444444444446,1208.4934423236725
W,0.25,0.54,1.48,0.019,282.22222222222223,1240.9940617202333
W,0.25,0.54,1.48,0.019,276.6666666666667,1374.264247460068
W,0.247,0.061,1.069,0.015,286.1111111111111,723.4356815138958
W,0.247,0.061,1.069,0.015,285.0,738.049695692489
W,0.307,1.045,1.161,0.009,280.0,1830.6540960776022
W,0.31,0.59,1.49,0.016,292.22222222222223,1166.1243333440113
W,0.11,0.095,1.42,0.017,255.0,937.2680553981203
W,0.22,0.59,1.45,0.016,283.3333333333333,1113.4767133360033
W,0.16,1.26,1.21,0.019,281.6666666666667,1544.7033785112744
W,0.16,1.26,1.21,0.019,281.1111111111111,1560.4515887990765
W,0.16,0.18,1.05,0.014,291.1111111111111,578.6738104765072
W,0.155,1.08,1.18,0.019,283.3333333333333,1134.7713428280845
W,0.155,1.08,1.18,0.019,282.22222222222223,1157.9124584637652
W,0.14,0.8,1.44,0.012,286.0,790.783878660813
W,0.14,0.19,1.06,0.016,284.44444444444446,609.7075202717526
W,0.14,0.11,1.3,0.017,278.8888888888889,662.6670108016609
W,0.13,0.85,1.44,0.011,286.0,761.8140935336843
W,0.13,0.1,1.19,0.014,277.77777777777777,619.5943507621729
W,0.13,0.1,1.19,0.014,273.88888888888886,666.0950212020321
W,0.33,0.57,1.26,0.011,285.0,1297.086298294378
W,0.11,0.407,1.56,0.009,275.55555555555554,689.9503067515479
W,0.33,0.57,1.26,0.011,288.3333333333333,1221.8760799316206
W,0.33,0.67,1.62,0.014,290.55555555555554,1254.0375655701002
W,0.11,0.095,1.42,0.017,265.0,769.849902974515
W,0.11,0.095,1.42,0.017,262.9186574027526,801.569100474742
W,0.11,0.095,1.42,0.017,261.1990243840401,828.9472864330664
W,0.11,0.095,1.42,0.017,255.7274479500957,923.7242947668292
W,0.161,0.794,1.122,0.014,276.1111111111111,1030.6949743415475
W,0.18,0.16,1.05,0.014,286.6666666666667,666.11194293483
W,0.18,0.16,1.05,0.014,287.0,662.1436107468046
W,0.196,1.0,1.347,0.013,284.44444444444446,1222.8475746151194
W,0.212,0.345,1.78,0.009,273.88888888888886,1152.938720190836
W,0.21,0.88,1.36,0.011,292.22222222222223,1030.7033183830233
W,0.21,0.78,1.49,0.016,278.3333333333333,1274.9321531436283
W,0.21,0.06,1.167,0.013,287.77777777777777,635.8642925905987
W,0.21,0.06,1.167,0.013,287.22222222222223,642.2149395896512
W,0.21,0.06,1.167,0.013,286.6666666666667,648.6407655733166
W,0.32,0.59,1.47,0.016,290.0,1211.2956421817719
W,0.2,0.33,1.49,0.01,275.55555555555554,1037.9025195723134
W,0.196,1.0,1.347,0.013,283.3333333333333,1247.6800521730854
W,0.185,1.121,1.269,0.012,279.44444444444446,1435.4130314318597
W,0.196,1.0,1.347,0.013,282.77777777777777,1260.3198412496383
W,0.194,1.067,1.281,0.009,280.0,1378.7417464175128
W,0.33,0.57,1.26,0.011,283.3333333333333,1336.7402485314842
W,0.19,0.56,1.535,0.018,283.8888888888889,978.6369504428334
W,0.19,0.56,1.535,0.018,282.22222222222223,1008.685702313955
W,0.19,0.56,1.535,0.018,279.44444444444446,1061.2294704480666
W,0.185,1.121,1.269,0.012,280.0,1420.853802099437
W,0.33,0.57,1.26,0.011,284.44444444444446,1310.1476429410434
W,0.247,0.061,1.069,0.015,282.77777777777777,768.339218242112
P,0.19,0.49,1.32,0.011,283.3333333333333,908.0609460455164
W,0.07,0.09,1.46,0.01,296.1111111111111,333.97620050415685
P,0.081,0.481,1.445,0.01,284.44444444444446,530.2100787501982
P,0.11,0.5,1.395,0.013,280.55555555555554,691.0704494360658
P,0.101,0.483,1.461,0.011,276.6666666666667,698.3788946103829
P,0.1,0.6,1.42,0.008,282.22222222222223,615.7359834460784
P,0.1,0.54,1.36,0.01,273.88888888888886,720.3072974977105
P,0.1,0.528,1.332,0.013,283.3333333333333,620.2467274076539
P,0.1,0.528,1.332,0.013,272.22222222222223,761.7240738516666
P,0.093,0.613,1.313,0.009,275.55555555555554,665.3835955421358
P,0.09,0.64,1.38,0.012,277.77777777777777,660.6942926931334
P,0.09,0.2,1.32,0.01,285.55555555555554,505.36027282445616
P,0.09,0.2,1.32,0.01,285.0,510.44996481738065
P,0.081,0.481,1.445,0.01,283.3333333333333,540.993713968311
P,0.11,0.5,1.395,0.013,283.8888888888889,650.3615829479052
P,0.081,0.481,1.445,0.01,282.77777777777777,546.4827356800168
P,0.08,0.67,1.3,0.007,278.8888888888889,558.6010192342753
P,0.08,0.59,1.39,0.01,277.77777777777777,599.0716031881088
P,0.08,0.59,1.39,0.01,273.88888888888886,644.0549009773324
P,0.0752,0.6100000000000001,1.362,0.0072,278.3333333333333,545.6366534443695
P,0.0752,0.6100000000000001,1.362,0.0072,274.0,591.4299721877583
P,0.07,0.59,1.35,0.009,286.0,469.04529496806697
P,0.06,0.59,1.49,0.006,291.1111111111111,379.63189047769106
P,0.056,0.562,1.312,0.009,287.55555555555554,403.88820625314526
P,0.0539999999999999,0.656,1.25,0.0092,278.3333333333333,468.5362444491008
P,0.11,0.5,1.395,0.013,281.6666666666667,677.1744779903257
P,0.11,0.53,1.24,0.011,281.7,652.7228135962315
P,0.05,0.58,1.35,0.005,286.0,366.4576341024623
P,0.12,0.6,1.26,0.013,292.22222222222223,592.1418174746534
P,0.14,0.54,1.29,0.014,278.3333333333333,833.9928185204561
P,0.14,0.5,1.42,0.01,291.1111111111111,647.3641856053947
P,0.134,0.634,1.337,0.015,276.1111111111111,878.9423764900928
P,0.133,0.66,1.21,0.005,287.77777777777777,645.703130978239
P,0.133,0.66,1.21,0.005,286.6666666666667,658.6769374171284
P,0.133,0.62,1.427,0.008,275.55555555555554,845.3584354636981
P,0.133,0.537,1.645,0.008,273.88888888888886,873.1416452361949
P,0.123,0.633,1.3,0.008,275.55555555555554,790.7141058274831
P,0.12,0.7,1.43,0.013,276.6666666666667,827.1407174458012
P,0.12,0.7,1.43,0.013,273.88888888888886,871.1003631189307
P,0.12,0.56,1.5,0.01,276.6666666666667,783.0540262363986
P,0.11,0.6,1.42,0.015,275.0,799.1490820266741
P,0.12,0.56,1.5,0.01,273.88888888888886,824.6708866991503
P,0.12,0.56,1.35,0.01,286.0,646.9335945565891
P,0.12,0.09,1.35,0.007,285.55555555555554,520.7371879961323
P,0.12,0.09,1.35,0.007,285.0,525.9803594128839
P,0.12,0.067,1.46,0.014,289.44444444444446,531.9662291518617
P,0.12,0.067,1.46,0.014,286.1111111111111,564.6525341223212
P,0.12,0.067,1.46,0.014,285.55555555555554,570.328515037517
P,0.12,0.067,1.46,0.014,282.77777777777777,599.7415537751427
P,0.11,0.63,1.28,0.012,278.88888888888886,715.1516866857321
P,0.11,0.6,1.42,0.015,276.6666666666667,774.7426704545437
P,0.0539999999999999,0.656,1.25,0.0092,274.0,507.8829912667107
P,0.04,0.65,1.4,0.005,296.1111111111111,311.5167916578413
W,0.07,0.09,1.46,0.01,292.77777777777777,354.05381067236374
F,0.039,0.76,1.35,0.005,284.0,366.75479577073673
F,0.051,0.7,0.59,0.01,285.55555555555554,311.3684591656005
F,0.051,0.7,0.59,0.01,284.44444444444446,317.6818416816286
F,0.05,0.71,0.67,0.01,286.1111111111111,320.95228225392964
F,0.05,0.69,0.67,0.01,284.44444444444446,329.3861678326163
F,0.05,0.69,0.67,0.01,282.77777777777777,339.5019700790656
F,0.044,0.76,1.35,0.005,288.0,341.2673260749499
F,0.04,0.91,1.35,0.002,276.0,407.191629410969
F,0.04,0.9,1.35,0.004,276.0,448.858422620816
F,0.04,0.89,1.35,0.002,276.0,398.8393961362427
F,0.04,0.77,0.68,0.004,292.77777777777777,246.45192116316622
F,0.03,0.91,1.35,0.002,276.0,407.191629410969
F,0.051,0.7,0.59,0.01,289.44444444444446,290.4102260688717
F,0.03,0.895,1.35,0.002,276.0,400.8223977469063
F,0.03,0.89,1.35,0.002,276.0,398.8393961362427
F,0.02,0.89,1.35,0.003,276.0,423.8124305007963
F,0.02,0.81,0.63,0.011,292.22222222222223,298.962105988703
F,0.02,0.76,0.72,0.014,292.22222222222223,319.0272369190125
F,0.02,0.76,0.72,0.014,291.1111111111111,325.3551763809389
F,0.02,0.75,1.35,0.005,289.0,334.04796238539717
F,0.018,0.74,1.35,0.005,289.0,332.9764857386376
F,0.01,0.73,0.58,0.011,292.22222222222223,282.2625795216053
F,0.01,0.73,0.58,0.011,291.6666666666667,285.0456755688745
F,0.051,0.7,0.59,0.01,286.1111111111111,308.2674699783917
F,0.063,0.73,1.3,0.009,291.1111111111111,384.142262655229
P,0.04,0.62,1.35,0.003,286.0,337.1122540975602
F,0.09,0.63,1.29,0.009,262.0,783.2604752564199
P,0.03,0.58,1.38,0.005,286.6666666666667,364.48498408814396
P,0.03,0.57,1.35,0.007,286.0,389.48428112363155
P,0.029,0.6,1.48,0.005,278.3333333333333,433.75025495795677
F,0.09,0.65,1.27,0.01,265.0,749.4763418259429
F,0.09,0.65,1.27,0.01,262.3380568491908,789.2361979329456
F,0.09,0.65,1.27,0.01,262.1157321289414,792.6684601523863
F,0.09,0.65,1.27,0.01,261.1990243840401,807.0084631172929
F,0.09,0.65,1.27,0.01,260.20953860733687,822.83270071731
F,0.09,0.65,1.27,0.01,255.7274479500957,899.2750110963061
F,0.09,0.65,1.27,0.01,255.0,912.4600064193253
F,0.088,0.71,0.65,0.009,289.44444444444446,405.8646300255448
F,0.07,0.61,1.22,0.015,262.0,727.2795715607749
F,0.088,0.71,0.65,0.009,286.1111111111111,430.7951271324571
F,0.088,0.71,0.65,0.009,285.55555555555554,435.1242670265189
F,0.088,0.71,0.65,0.009,284.44444444444446,443.9379387465127
F,0.087,0.64,1.26,0.017,265.0,787.8772150309125
F,0.087,0.64,1.26,0.017,264.0,803.2824094365974
F,0.08,0.67,0.61,0.01,285.0,406.9206601876236
F,0.08,0.67,0.61,0.01,284.44444444444446,411.02577936807484
F,0.08,0.67,0.61,0.01,283.3333333333333,419.3839405557374
F,0.07,0.69,0.66,0.01,284.44444444444446,386.3785975525947
F,0.07,0.69,0.66,0.01,282.77777777777777,398.23803284571983
P,0.14,0.55,1.35,0.007,275.55555555555554,841.6182226335507
P,0.141,0.575,1.3,0.007,285.0,712.6104597576749
P,0.141,0.603,1.276,0.007,286.1111111111111,702.5573008093469
W,0.03,0.16,1.72,0.009,296.0,312.18909614152165
W,0.0382,0.93,1.524,0.0104,278.3333333333333,499.8355427144806
W,0.0382,0.93,1.524,0.0104,274.0,541.8121804502074
W,0.036,0.736,1.83,0.013,292.22222222222223,375.01083923623565
W,0.031,0.097,1.419,0.009,289.44444444444446,330.75876736220533
W,0.031,0.097,1.419,0.009,287.55555555555554,342.1072299287594
W,0.03,0.9,0.937,0.004,284.44444444444446,313.1653561627639
W,0.03,0.87,1.38,0.014,278.3333333333333,483.56057947073066
W,0.03,0.65,1.34,0.01,293.3333333333333,312.6656439000604
W,0.03,0.65,1.34,0.01,289.0,337.59915440005653
W,0.03,0.18,1.72,0.009,296.0,312.1891283771963
W,0.03,0.15,1.73,0.006,296.0,289.75619167208174
W,0.04,0.06,1.08,0.005,292.77777777777777,257.5629257268797
W,0.03,0.14,1.38,0.003,289.44444444444446,269.79599610596557
W,0.03,0.14,1.38,0.003,282.22222222222223,307.28976991983853
W,0.03,0.13,1.74,0.009,296.0,313.2737092577082
W,0.03,0.072,1.37,0.011,293.3333333333333,317.7091768340231
W,0.03,0.06,1.28,0.005,292.77777777777777,271.03115382691976
W,0.03,0.06,1.28,0.005,291.5,277.2130828180651
W,0.026,0.71,1.48,0.011,292.22222222222223,338.11806450213277
W,0.026,0.71,1.48,0.011,291.0,345.5039487740812
W,0.026,0.71,1.48,0.011,290.0,351.68919804849105
W,0.026,0.71,1.48,0.011,289.44444444444446,355.1820211304532
W,0.04,0.06,1.08,0.005,292.22222222222223,260.09791491222467
W,0.04,0.06,1.08,0.005,296.1111111111111,242.95225214240978
P,0.149,0.441,1.3,0.014,275.55555555555554,887.0481968773678
W,0.04,0.92,1.44,0.009,286.0,410.5482406691647
W,0.07,0.07,1.43,0.013,287.77777777777777,399.94009028647605
W,0.059,0.93,1.32,0.009,278.8888888888889,494.57021011862906
W,0.059,0.93,1.32,0.009,275.0,531.5776638072551
W,0.054,0.13,1.39,0.017,287.77777777777777,386.4632040560199
W,0.05,0.96,1.42,0.019,273.88888888888886,623.7764331014288
W,0.05,0.16,1.35,0.008,289.44444444444446,318.578065321173
W,0.05,0.16,1.35,0.008,286.6666666666667,334.80557718997966
W,0.05,0.16,1.35,0.008,285.55555555555554,341.5691061081547
W,0.048,0.067,1.525,0.005,286.6666666666667,318.45649467518894
W,0.0435,0.1271666666666666,1.1283333333333334,0.0094,292.77777777777777,293.536638240713
W,0.04,0.89,1.45,0.016,278.88888888888886,508.2959350959287
W,0.04,0.09,1.46,0.005,291.1111111111111,290.36586445860604
W,0.04,0.67,1.44,0.015,293.3333333333333,347.19231549119235
W,0.04,0.67,1.44,0.015,291.0,361.788022483619
W,0.04,0.67,1.44,0.015,290.0,368.2647910169366
W,0.04,0.67,1.44,0.015,289.44444444444446,371.92223562847283
W,0.04,0.64,1.45,0.011,288.9,352.4234012046596
W,0.04,0.22,1.33,0.004,293.3333333333333,261.16175468404253
W,0.04,0.22,1.33,0.004,292.77777777777777,263.7275476951902
W,0.04,0.22,1.33,0.004,292.22222222222223,266.32321040323774
W,0.04,0.102,1.13,0.012,292.22222222222223,311.09811324059297
W,0.04,0.09,1.46,0.005,291.6666666666667,287.5257543461589
W,0.025,0.965,1.172,0.014,275.55555555555554,540.3683895166602
W,0.025,0.95,1.182,0.014,275.55555555555554,530.6262869665223
W,0.023,0.936,1.25,0.01,276.6666666666667,485.62869832504606
P,0.19,0.465,1.19,0.008,276.1111111111111,996.5100833053154
P,0.2,0.54,1.3,0.008,291.1111111111111,823.8331665324968
P,0.2,0.056,1.46,0.01,289.44444444444446,624.5125307285604
P,0.2,0.056,1.46,0.01,286.1111111111111,662.8616715383878
P,0.2,0.056,1.46,0.01,285.55555555555554,669.5208674918255
P,0.2,0.056,1.46,0.01,282.77777777777777,704.028320464512
P,0.197,0.595,1.29,0.011,283.8888888888889,956.997509656971
P,0.197,0.595,1.29,0.011,280.55555555555554,1016.8432023176811
P,0.197,0.595,1.29,0.011,277.77777777777777,1070.1199772467837
F,0.01,0.73,0.58,0.011,291.1111111111111,287.86128806081797
P,0.19,0.49,1.32,0.011,282.22222222222223,926.575351954602
P,0.18,0.5,1.41,0.01,283.8888888888889,872.6356311834791
W,0.023,0.87,1.23,0.006,287.77777777777777,334.15280614294704
P,0.173,0.107,1.4,0.011,276.6666666666667,783.8529069307181
P,0.17,0.64,1.478,0.011,275.0,1048.822065843764
P,0.17,0.52,1.315,0.015,275.0,1008.833298136579
P,0.17,0.2,1.403,0.013,288.8888888888889,679.968867684485
P,0.166,0.648,1.413,0.01,277.5,974.9440499940712
P,0.166,0.648,1.413,0.01,276.6666666666667,990.105619144123
P,0.16,0.61,1.35,0.01,286.0,797.3145139931025
P,0.15,0.65,1.35,0.01,276.6666666666667,915.079389783374
P,0.149,0.441,1.3,0.014,283.8888888888889,761.1970002677663
P,0.149,0.441,1.3,0.014,277.77777777777777,851.2250055149403
P,0.2,0.54,1.3,0.008,291.6666666666667,815.7916405982993
P,0.2,0.54,1.3,0.008,292.22222222222223,807.8428227956043
P,0.2,0.54,1.3,0.008,294.44444444444446,776.950267394575
P,0.21,0.758,1.278,0.009,273.88888888888886,1278.0778724932302
W,0.023,0.87,1.23,0.006,286.0,344.9904688564113
W,0.02,0.98,1.44,0.004,276.0,460.7258871860775
W,0.02,0.14,1.55,0.008,296.1111111111111,295.26820949925167
W,0.02,0.14,1.55,0.008,292.22222222222223,316.1059218566321
W,0.02,0.11,1.69,0.016,293.5,363.578526949999
W,0.02,0.07,1.73,0.015,293.5,361.3985874306537
W,0.017,0.9,1.44,0.006,289.0,352.6629737230111
W,0.016,0.69,1.8,0.015,293.0,374.6712208278232
W,0.01,0.86,1.44,0.007,286.0,369.07037718350347
W,0.01,0.76,1.44,0.006,276.0,406.8726212304016
W,0.01,0.74,1.44,0.01,276.0,445.19170294809066
W,0.01,0.74,1.44,0.005,276.0,391.06562849336774
W,0.01,0.69,1.44,0.009,276.0,430.9279625214329
W,0.01,0.68,1.44,0.006,276.0,398.56138393304315
W,0.01,0.15,1.45,0.01,292.77777777777777,320.3052475530083
W,0.01,0.15,1.45,0.01,292.22222222222223,323.45776003617976
P,0.25,0.53,1.368,0.012,278.3333333333333,1248.370868753962
P,0.241,0.528,1.497,0.013,281.6666666666667,1156.9576828624133
P,0.22,0.51,1.37,0.018,275.0,1217.9720921542805
P,0.211,0.63,1.28,0.01,283.8888888888889,1016.9416291802241
P,0.211,0.63,1.28,0.01,277.77777777777777,1137.1337191856787
W,0.41,0.1,1.65,0.021,294.44444444444446,789.4281647680915
